Phi[deg],Theta[deg],Gain[dB]
6,21,4.6994e+00
6,22,4.6342e+00
6,23,4.5664e+00
6,24,4.4959e+00
6,25,4.4230e+00
6,26,4.3476e+00
6,27,4.2698e+00
6,28,4.1896e+00
6,29,4.1071e+00
6,30,4.0224e+00
6,31,3.9355e+00
6,32,3.8464e+00
6,33,3.7553e+00
6,34,3.6622e+00
6,35,3.5672e+00
6,36,3.4702e+00
6,37,3.3714e+00
6,38,3.2709e+00
6,39,3.1686e+00
6,40,3.0647e+00
6,41,2.9592e+00
6,42,2.8522e+00
6,43,2.7437e+00
6,44,2.6338e+00
6,45,2.5225e+00
6,46,2.4100e+00
6,47,2.2962e+00
6,48,2.1813e+00
6,49,2.0653e+00
6,50,1.9483e+00
6,51,1.8303e+00
6,52,1.7114e+00
6,53,1.5917e+00
